year,race,education,age,population,mortality
2000,Black,B.A.+,31,82636,0.0007759576669145392
2000,Black,B.A.+,32,77197,0.0008874369412885546
2000,Black,B.A.+,33,71133,0.0008444356488994637
2000,Black,B.A.+,34,100733,0.0011045050591801141
2000,Black,B.A.+,35,86356,0.0012155807171980943
2000,Black,B.A.+,36,66079,0.0012096266753785188
2000,Black,B.A.+,37,76291,0.0015744825190491655
2000,Black,B.A.+,38,82744,0.0016287935963059353
2000,Black,B.A.+,39,71306,0.0017668884329237508
2000,Black,B.A.+,40,75815,0.002063013270159505
2000,Black,B.A.+,41,70875,0.0023322487644724683
2000,Black,B.A.+,42,75557,0.0025465238982392857
2000,Black,B.A.+,43,83975,0.0027056920384577643
2000,Black,B.A.+,44,82395,0.0031101847970259433
2000,Black,B.A.+,45,59121,0.003876930086881053
2000,Black,B.A.+,46,72067,0.0040727728013927105
2000,Black,B.A.+,47,52071,0.003919637326007492
2000,Black,B.A.+,48,68019,0.004357256762022274
2000,Black,B.A.+,49,70228,0.004824645830397484
2000,Black,B.A.+,50,91964,0.0049256366995104875
2000,Black,B.A.+,51,69634,0.005591222912121388
2000,Black,B.A.+,52,56788,0.00532765335934641
2000,Black,B.A.+,53,50926,0.006169044821349821
2000,Black,B.A.+,54,41818,0.00614184087552066
2000,Black,B.A.+,55,42996,0.006900860458946752
2000,Black,B.A.+,56,37028,0.007941566032532706
2000,Black,B.A.+,57,34414,0.008889979691276346
2000,Black,B.A.+,58,28301,0.009508548844530808
2000,Black,B.A.+,59,32481,0.01135397968798598
2000,Black,B.A.+,60,27225,0.013666438898011661
2000,Black,B.A.+,61,20857,0.013939521982875916
2000,Black,B.A.+,62,19234,0.014559530048826331
2000,Black,B.A.+,63,13040,0.016795759730391855
2000,Black,B.A.+,64,24769,0.01797654178877325
2000,Black,B.A.+,65,17149,0.01928525361759579
2000,Black,B.A.+,66,6844,0.018847862247228245
2000,Black,B.A.+,67,14961,0.022389625178544138
2000,Black,B.A.+,68,16078,0.026154123113538232
2000,Black,B.A.+,69,19720,0.026298158492629807
2000,Black,B.A.+,70,9435,0.02903288154076486
2000,Black,B.A.+,71,15062,0.0315993663756512
2000,Black,B.A.+,72,14102,0.03702137715746612
2000,Black,B.A.+,73,9905,0.03831468431636614
2000,Black,B.A.+,74,7906,0.0473537516202191
2000,Black,B.A.+,75,4140,0.04710671592008006
2000,Black,B.A.+,76,5580,0.05842224959462507
2000,Black,B.A.+,77,5959,0.06992912136914421
2000,Black,B.A.+,78,4654,0.07572441111607717
2000,Black,B.A.+,79,4485,0.07281606145761045
2000,Black,B.A.+,80,6823,0.0785257328619645
2000,Black,B.A.+,81,4426,0.08121195064442994
2000,Black,B.A.+,82,4141,0.07670291909281624
2000,Black,B.A.+,83,4963,0.0791610590949144
2000,Black,B.A.+,84,2730,0.07152773406831103
2001,White,Less than H.S.,30,159707,0.002786146741145382
2001,White,Less than H.S.,31,159751,0.0029265026826831965
2001,White,Less than H.S.,32,147372,0.003399831471360235
2001,White,Less than H.S.,33,157218,0.0033566656069421333
2001,White,Less than H.S.,34,139319,0.0038912009085026867
2001,White,Less than H.S.,35,167360,0.004091505647204349
2001,White,Less than H.S.,36,179328,0.004028807361598876
2001,White,Less than H.S.,37,204072,0.004384983562065865
2001,White,Less than H.S.,38,194169,0.004517296015304974
2001,White,Less than H.S.,39,197530,0.004736841709660232
2001,White,Less than H.S.,40,228729,0.005125745748720602
2001,White,Less than H.S.,41,203031,0.0058130210450571505
2001,White,Less than H.S.,42,199563,0.006261200671274988
2001,White,Less than H.S.,43,200957,0.006733381823566597
2001,White,Less than H.S.,44,194885,0.006830312046835243
2001,White,Less than H.S.,45,194166,0.008069999758833258
2001,White,Less than H.S.,46,182174,0.008102242255361578
